signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason
2024-03-08 16:00:00+00:00,2024-03-08 20:00:00+00:00,2024-03-09 08:00:00+00:00,long,68970.685,68369.48300000001,0.03940354716676512,-23.689491363753138,-2.4352604044557506,0.0,-26.12475176820889,12.0,signal_exit
2024-03-10 08:00:00+00:00,2024-03-10 12:00:00+00:00,2024-03-10 16:00:00+00:00,long,69669.8947,69260.2157,0.058376960428505036,-23.915814771389734,-3.649642900716886,0.0,-27.565457672106618,4.0,signal_exit
2024-03-11 04:00:00+00:00,2024-03-11 08:00:00+00:00,2024-03-12 20:00:00+00:00,long,71230.3627,71432.5638,0.05081817184438648,10.275490246924264,-3.262441101615035,0.0,7.013049145309228,36.0,signal_exit
2024-03-13 08:00:00+00:00,2024-03-13 12:00:00+00:00,2024-03-13 16:00:00+00:00,long,73200.9537,72669.1927,0.04842762202193021,-25.751920714003564,-3.178864941364271,0.0,-28.930785655367835,4.0,signal_exit
2024-03-13 16:00:00+00:00,2024-03-13 20:00:00+00:00,2024-03-14 00:00:00+00:00,long,73429.0221,73116.0586,0.048680089985958096,-15.2350913423203,-3.210222471963971,0.0,-18.445313814284273,4.0,signal_exit
2024-03-17 20:00:00+00:00,2024-03-18 00:00:00+00:00,2024-03-19 04:00:00+00:00,long,68474.5362,65889.2273,0.03833204348542548,-99.10017317805766,-2.317696931406341,0.0,-101.417870109464,28.0,signal_exit
2024-03-20 16:00:00+00:00,2024-03-20 20:00:00+00:00,2024-03-22 20:00:00+00:00,long,65838.7457,63858.8366,0.03293054399659813,-65.19948372681492,-1.9219553730821506,0.0,-67.12143909989707,48.0,signal_exit
2024-03-23 12:00:00+00:00,2024-03-23 16:00:00+00:00,2024-03-27 16:00:00+00:00,long,65138.5357,68965.3042,0.0409807051172639,156.82367145053422,-2.473051463115601,0.0,154.3506199874186,96.0,signal_exit
2024-03-31 16:00:00+00:00,2024-03-31 20:00:00+00:00,2024-04-01 08:00:00+00:00,long,71144.3369,69666.0939,0.08542216504692479,-126.27471752546019,-5.412749337056782,0.0,-131.68746686251697,12.0,signal_exit
2024-04-04 08:00:00+00:00,2024-04-04 12:00:00+00:00,2024-04-09 16:00:00+00:00,long,66415.9188,69304.2025,0.05836559774472747,168.57640460685312,-3.5646237025476384,0.0,165.01178090430548,124.0,signal_exit
2024-04-11 04:00:00+00:00,2024-04-11 08:00:00+00:00,2024-04-11 12:00:00+00:00,long,70807.2358,69985.9979,0.058264962627069844,-47.849395551432906,-3.6914906248536643,0.0,-51.54088617628657,4.0,signal_exit
2024-04-12 00:00:00+00:00,2024-04-12 04:00:00+00:00,2024-04-12 16:00:00+00:00,long,71131.333,69372.1821,0.05757191356553513,-101.27768356353295,-3.640075302145977,0.0,-104.91775886567892,12.0,signal_exit
2024-04-15 04:00:00+00:00,2024-04-15 08:00:00+00:00,2024-04-16 00:00:00+00:00,long,66323.8912,63419.9683,0.037778131734269915,-109.70478186236303,-2.205666277156623,0.0,-111.91044813951966,16.0,signal_exit
2024-04-16 20:00:00+00:00,2024-04-17 00:00:00+00:00,2024-04-17 16:00:00+00:00,long,63880.158299999996,60343.8914,0.03605928137920345,-127.51524317906333,-2.0157434829884044,0.0,-129.53098666205173,16.0,signal_exit
2024-04-18 08:00:00+00:00,2024-04-18 12:00:00+00:00,2024-04-24 12:00:00+00:00,long,62565.7641,66557.0269,0.036512173559842334,145.72968007654217,-2.1215491899854615,0.0,143.6081308865567,144.0,signal_exit
2024-04-28 00:00:00+00:00,2024-04-28 04:00:00+00:00,2024-04-29 04:00:00+00:00,long,64060.2123,62299.3046,0.07454961913488574,-131.27499836668736,-4.239024236533421,0.0,-135.51402260322078,24.0,signal_exit
2024-04-29 20:00:00+00:00,2024-04-30 00:00:00+00:00,2024-04-30 08:00:00+00:00,long,63856.151099999995,61223.44516290689,0.07381136202831202,-194.3236110368654,-4.154532912952435,0.0,-198.47814394981785,8.0,stop
2024-05-02 12:00:00+00:00,2024-05-02 16:00:00+00:00,2024-05-06 20:00:00+00:00,long,59244.7681,63269.013600000006,0.04554323590764097,183.27716215676278,-2.5108533278551475,0.0,180.76630882890763,100.0,signal_exit
2024-05-10 00:00:00+00:00,2024-05-10 04:00:00+00:00,2024-05-10 16:00:00+00:00,long,62953.8805,60915.7198,0.06657907706976496,-135.69885832586613,-3.711205649238606,0.0,-139.41006397510472,12.0,signal_exit
2024-05-12 12:00:00+00:00,2024-05-12 16:00:00+00:00,2024-05-14 20:00:00+00:00,long,61445.4281,61621.508,0.08445151755009767,14.870214765069802,-4.676935281248654,0.0,10.193279483821147,52.0,signal_exit
2024-05-15 08:00:00+00:00,2024-05-15 12:00:00+00:00,2024-05-18 16:00:00+00:00,long,62498.744,66798.9543,0.07942837991584421,341.5587374264263,-4.621458016267471,0.0,336.93727941015885,76.0,signal_exit
2024-05-20 16:00:00+00:00,2024-05-20 20:00:00+00:00,2024-05-22 08:00:00+00:00,long,70021.0,69712.0801,0.07441022785658015,-22.98680014843147,-4.6789066482042445,0.0,-27.665706796635714,36.0,signal_exit
2024-05-25 16:00:00+00:00,2024-05-25 20:00:00+00:00,2024-05-27 00:00:00+00:00,long,69180.74799999999,68553.4278,0.07170075940685113,-44.97933473125683,-4.444040250511531,0.0,-49.42337498176836,28.0,signal_exit
2024-05-27 12:00:00+00:00,2024-05-27 16:00:00+00:00,2024-05-28 00:00:00+00:00,long,70449.1284,67884.06435207977,0.07685621381457503,-197.14111091503625,-4.784294447912998,0.0,-201.92540536294925,8.0,stop
2024-05-30 12:00:00+00:00,2024-05-30 16:00:00+00:00,2024-05-31 16:00:00+00:00,long,68569.5647,67304.8025,0.07010615685776932,-88.66761718097723,-4.286533364943006,0.0,-92.95415054592024,24.0,signal_exit
2024-06-01 20:00:00+00:00,2024-06-02 00:00:00+00:00,2024-06-06 20:00:00+00:00,long,67830.343,70445.8599,0.09580584012931852,250.58179397693098,-5.961450504926974,0.0,244.620343472004,116.0,signal_exit
2024-06-10 12:00:00+00:00,2024-06-10 16:00:00+00:00,2024-06-11 00:00:00+00:00,long,70134.0339,68500.32497331212,0.12158022411230088,-198.62669744097843,-7.5848383896670954,0.0,-206.21153583064552,8.0,stop
2024-06-12 12:00:00+00:00,2024-06-12 16:00:00+00:00,2024-06-12 16:00:00+00:00,long,69765.9235,67224.66066502164,0.0755131785385485,-191.898834171099,-4.655067498069,0.0,-196.553901669168,0.0,stop
2024-06-15 12:00:00+00:00,2024-06-15 16:00:00+00:00,2024-06-18 12:00:00+00:00,long,66343.89719999999,65405.372500000005,0.07751745273233446,-72.75204407037738,-4.595790503920201,0.0,-77.34783457429758,68.0,signal_exit
2024-06-20 00:00:00+00:00,2024-06-20 04:00:00+00:00,2024-06-21 08:00:00+00:00,long,65284.5795,64204.732800000005,0.08187520643794147,-88.4126714838294,-4.770883879231308,0.0,-93.1835553630607,28.0,signal_exit
2024-06-22 08:00:00+00:00,2024-06-22 12:00:00+00:00,2024-06-24 00:00:00+00:00,long,64292.281899999994,63148.049900000005,0.08604497722762136,-98.45541638311471,-4.93452020142518,0.0,-103.3899365845399,36.0,signal_exit
2024-06-25 16:00:00+00:00,2024-06-25 20:00:00+00:00,2024-06-29 00:00:00+00:00,long,62022.6012,60454.858100000005,0.06267372901167491,-98.25630620932269,-3.4542535923929893,0.0,-101.71055980171568,76.0,signal_exit
2024-06-29 00:00:00+00:00,2024-06-29 04:00:00+00:00,2024-07-02 16:00:00+00:00,long,60792.2322,61937.4132,0.0776585325006555,88.9330759076335,-4.288951870240421,0.0,84.64412403739307,84.0,signal_exit
2024-07-08 04:00:00+00:00,2024-07-08 08:00:00+00:00,2024-07-08 12:00:00+00:00,short,55816.250100000005,57145.138399999996,0.055908835059258054,-74.29659677687735,-2.8419928369700713,0.0,-77.13858961384742,4.0,signal_exit
2024-07-11 20:00:00+00:00,2024-07-12 00:00:00+00:00,2024-07-13 00:00:00+00:00,short,57289.8079,57900.3649,0.05597625103441337,-34.17669190281836,-2.9015613132076146,0.0,-37.07825321602598,24.0,signal_exit
2024-07-19 16:00:00+00:00,2024-07-19 20:00:00+00:00,2024-07-21 12:00:00+00:00,long,67223.1609,66904.9225,0.053351033871848266,-16.978347657722903,-3.22014236428777,0.0,-20.198490022010674,40.0,signal_exit
2024-07-21 20:00:00+00:00,2024-07-22 00:00:00+00:00,2024-07-22 08:00:00+00:00,long,68232.4636,67233.8238,0.06381086235420746,-63.724066819233556,-3.8898992785126083,0.0,-67.61396609774616,8.0,signal_exit
2024-07-26 00:00:00+00:00,2024-07-26 04:00:00+00:00,2024-07-28 16:00:00+00:00,long,67119.1297,67666.6939,0.05353700566098157,29.314947675150492,-3.247213230491968,0.0,26.067734444658523,60.0,signal_exit
2024-07-29 00:00:00+00:00,2024-07-29 04:00:00+00:00,2024-07-29 16:00:00+00:00,long,69438.8254,66406.09735656694,0.0585873091634045,-177.67937548913955,-3.581454819518006,0.0,-181.26083030865755,12.0,stop
2024-08-13 20:00:00+00:00,2024-08-14 00:00:00+00:00,2024-08-14 20:00:00+00:00,long,60578.168,58937.313500000004,0.044963831605080176,-73.77910542643777,-2.4182432929647337,0.0,-76.1973487194025,20.0,signal_exit
2024-08-14 16:00:00+00:00,2024-08-14 20:00:00+00:00,2024-08-16 20:00:00+00:00,short,58937.313500000004,59663.8938,0.04466885110685776,-32.455507237875786,-2.3840008514897724,0.0,-34.83950808936556,48.0,signal_exit
2024-08-16 16:00:00+00:00,2024-08-16 20:00:00+00:00,2024-08-19 04:00:00+00:00,long,59663.8938,58695.3861,0.04240900365097536,-41.07344658529752,-2.2587746100326616,0.0,-43.33222119533018,56.0,signal_exit
2024-08-19 00:00:00+00:00,2024-08-19 04:00:00+00:00,2024-08-20 04:00:00+00:00,short,58695.3861,60618.18,0.0615305678040634,-118.31060043718931,-3.303644160987293,0.0,-121.6142445981766,24.0,signal_exit
2024-08-20 00:00:00+00:00,2024-08-20 04:00:00+00:00,2024-08-21 04:00:00+00:00,long,60618.18,59277.211500000005,0.06051676781764702,-81.15107936527812,-3.2650567064151255,0.0,-84.41613607169324,24.0,signal_exit
2024-08-21 00:00:00+00:00,2024-08-21 04:00:00+00:00,2024-08-21 08:00:00+00:00,short,59277.211500000005,59722.911499999995,0.0569222299734925,-25.370237899185028,-3.0481885657259524,0.0,-28.41842646491098,4.0,signal_exit
2024-08-21 04:00:00+00:00,2024-08-21 08:00:00+00:00,2024-08-21 12:00:00+00:00,long,59722.911499999995,59326.196800000005,0.05857844951916182,-23.238932027458812,-3.1381704813837503,0.0,-26.37710250884256,4.0,signal_exit
2024-08-21 08:00:00+00:00,2024-08-21 12:00:00+00:00,2024-08-21 20:00:00+00:00,short,59326.196800000005,61619.480299999996,0.05894894465059998,-135.18664210963362,-3.2083290112937566,0.0,-138.39497112092738,8.0,signal_exit
2024-08-21 16:00:00+00:00,2024-08-21 20:00:00+00:00,2024-08-25 20:00:00+00:00,long,61619.480299999996,64235.7235,0.0509019278156004,133.1718225144556,-2.8828226245703745,0.0,130.28899988988525,96.0,signal_exit
2024-08-30 12:00:00+00:00,2024-08-30 16:00:00+00:00,2024-08-31 00:00:00+00:00,short,58049.579900000004,59111.7282,0.04887919990684359,-51.91695908641376,-2.577037949985237,0.0,-54.493997036399,8.0,signal_exit
2024-09-01 20:00:00+00:00,2024-09-02 00:00:00+00:00,2024-09-02 12:00:00+00:00,short,57257.817500000005,58420.520899999996,0.060201185733694054,-69.99612333659704,-3.133787910922581,0.0,-73.12991124751962,12.0,signal_exit
2024-09-04 00:00:00+00:00,2024-09-04 04:00:00+00:00,2024-09-04 20:00:00+00:00,short,56646.0011,58097.424,0.055992551170415454,-81.26887099816267,-2.891149695621217,0.0,-84.16002069378389,16.0,signal_exit
2024-09-05 08:00:00+00:00,2024-09-05 12:00:00+00:00,2024-09-08 04:00:00+00:00,short,56688.9882,54421.3215,0.0563400219333538,127.76039161553612,-2.81698077848388,0.0,124.94341083705224,64.0,signal_exit
2024-09-13 08:00:00+00:00,2024-09-13 12:00:00+00:00,2024-09-13 16:00:00+00:00,short,57815.6501,59654.8911,0.06641947558878697,-122.16142270139625,-3.511049284635747,0.0,-125.672471986032,4.0,signal_exit
2024-09-13 12:00:00+00:00,2024-09-13 16:00:00+00:00,2024-09-15 12:00:00+00:00,long,59654.8911,59973.002700000005,0.05879357385309276,18.702917848125725,-3.1650081340591067,0.0,15.537909714066618,44.0,signal_exit
2024-09-17 12:00:00+00:00,2024-09-17 16:00:00+00:00,2024-09-21 04:00:00+00:00,long,61142.337199999994,62883.129400000005,0.06142004811709571,106.91954068586557,-3.427942556842761,0.0,103.4915981290228,84.0,signal_exit
2024-09-25 00:00:00+00:00,2024-09-25 04:00:00+00:00,2024-09-25 08:00:00+00:00,long,64514.3485,63873.8321,0.06601968184878645,-42.28668894693007,-3.8142660763604415,0.0,-46.10095502329051,4.0,signal_exit
2024-09-26 12:00:00+00:00,2024-09-26 16:00:00+00:00,2024-09-28 20:00:00+00:00,long,65303.5852,65703.2831,0.06534265275196709,26.117321085390415,-3.8521513365523132,0.0,22.2651697488381,52.0,signal_exit
2024-10-04 00:00:00+00:00,2024-10-04 04:00:00+00:00,2024-10-08 08:00:00+00:00,long,60984.2898,62301.304000000004,0.055590455459907734,73.2134192251663,-3.0840760399442297,0.0,70.12934318522207,100.0,signal_exit
2024-10-11 12:00:00+00:00,2024-10-11 16:00:00+00:00,2024-10-17 08:00:00+00:00,long,62262.6732,67274.8115,0.06610984944942867,331.35170843271527,-3.853666625208601,0.0,327.4980418075067,136.0,signal_exit
2024-10-24 12:00:00+00:00,2024-10-24 16:00:00+00:00,2024-10-26 00:00:00+00:00,long,67734.3142,66678.9903,0.0759660979259265,-80.1688387309698,-4.59488441348747,0.0,-84.76372314445726,32.0,signal_exit
2024-10-27 12:00:00+00:00,2024-10-27 16:00:00+00:00,2024-10-31 08:00:00+00:00,long,67795.3325,72445.2599,0.08397607592975469,390.4826564102468,-5.29958458611728,0.0,385.1830718241295,88.0,signal_exit
2024-11-05 04:00:00+00:00,2024-11-05 08:00:00+00:00,2024-11-09 04:00:00+00:00,long,68964.6832,76337.092,0.06361500081794486,468.99579184222415,-4.1595176466885775,0.0,464.83627419553557,92.0,signal_exit
2024-11-10 08:00:00+00:00,2024-11-10 12:00:00+00:00,2024-11-13 08:00:00+00:00,long,79968.9835,87397.7728,0.05663691540761379,420.7437111650867,-4.265611568374416,0.0,416.4780995967123,68.0,signal_exit
2024-11-13 12:00:00+00:00,2024-11-13 16:00:00+00:00,2024-11-14 04:00:00+00:00,long,92727.81,89993.9937,0.02833768036147818,-77.4700124763987,-2.3300604307455126,0.0,-79.80007290714421,12.0,signal_exit
2024-11-19 16:00:00+00:00,2024-11-19 20:00:00+00:00,2024-11-23 08:00:00+00:00,long,93337.993,98613.4071,0.03820704779639251,201.55799866446276,-3.3002533431923227,0.0,198.25774532127045,84.0,signal_exit
2024-11-27 16:00:00+00:00,2024-11-27 20:00:00+00:00,2024-12-01 04:00:00+00:00,long,96718.0067,96359.0836,0.03829081432538847,-13.743457779192838,-3.3268855568236035,0.0,-17.070343336016442,80.0,signal_exit
2024-12-01 16:00:00+00:00,2024-12-01 20:00:00+00:00,2024-12-02 04:00:00+00:00,long,97287.1774,96508.0389,0.06250287772409319,-48.69839839563344,-5.450741418560891,0.0,-54.14913981419433,8.0,signal_exit
2024-12-04 08:00:00+00:00,2024-12-04 12:00:00+00:00,2024-12-04 16:00:00+00:00,long,96316.8864,95821.24500000001,0.050284471105968086,-24.923065657221226,-4.3477039425321,0.0,-29.270769599753326,4.0,signal_exit
2024-12-04 16:00:00+00:00,2024-12-04 20:00:00+00:00,2024-12-05 20:00:00+00:00,long,97309.184,93117.95222525131,0.04665737763448718,-195.55188366811112,-3.998173863021967,0.0,-199.5500575311331,24.0,stop
2024-12-06 16:00:00+00:00,2024-12-06 20:00:00+00:00,2024-12-07 04:00:00+00:00,long,101594.46919999999,99362.1824,0.02716814088415024,-60.64708227622856,-2.4568283800241524,0.0,-63.10391065625271,8.0,signal_exit
2024-12-11 12:00:00+00:00,2024-12-11 16:00:00+00:00,2024-12-18 04:00:00+00:00,long,100501.1413,104726.5726,0.03369555074860313,142.378234803886,-3.111867381931764,0.0,139.26636742195421,156.0,signal_exit
2024-12-21 08:00:00+00:00,2024-12-21 12:00:00+00:00,2024-12-22 20:00:00+00:00,long,98383.5062,94762.56270000001,0.028131874699608313,-101.863928836361,-2.4451024540575217,0.0,-104.30903129041852,32.0,signal_exit
2024-12-23 00:00:00+00:00,2024-12-23 04:00:00+00:00,2024-12-23 16:00:00+00:00,long,96060.8096,93209.0289,0.032672199855925864,-93.17394897567178,-2.782737895576865,0.0,-95.95668687124865,12.0,signal_exit
2024-12-24 00:00:00+00:00,2024-12-24 04:00:00+00:00,2024-12-26 20:00:00+00:00,long,94419.3173,96139.1496,0.031205539435186686,53.66829465955811,-2.6759158891004997,0.0,50.992378770457606,64.0,signal_exit
2024-12-29 00:00:00+00:00,2024-12-29 04:00:00+00:00,2024-12-29 20:00:00+00:00,long,95244.5648,93580.9173,0.04828606257580737,-80.3309872890851,-4.102937570064418,0.0,-84.43392485914951,16.0,signal_exit
2024-12-31 08:00:00+00:00,2024-12-31 12:00:00+00:00,2025-01-05 12:00:00+00:00,long,94315.2861,97626.7032,0.04381141595605541,145.07787197209498,-3.784162649694766,0.0,141.29370932240022,120.0,signal_exit
2025-01-06 04:00:00+00:00,2025-01-06 08:00:00+00:00,2025-01-07 16:00:00+00:00,long,99344.7945,98044.5778,0.06823547829755085,-88.72090841496349,-6.061031203384725,0.0,-94.78193961834822,32.0,signal_exit
2025-01-10 12:00:00+00:00,2025-01-10 16:00:00+00:00,2025-01-13 12:00:00+00:00,long,93737.1127,90853.7357,0.03664743351922538,-105.66836691836326,-3.0441513802483846,0.0,-108.71251829861164,68.0,signal_exit
2025-01-14 00:00:00+00:00,2025-01-14 04:00:00+00:00,2025-01-19 12:00:00+00:00,long,94863.45049999999,104404.6692,0.03878886848195362,370.093077311857,-3.478223199460271,0.0,366.6148541123967,128.0,signal_exit
2025-01-24 08:00:00+00:00,2025-01-24 12:00:00+00:00,2025-01-25 12:00:00+00:00,long,105416.6155,104611.60710000001,0.027251199572065832,-21.93744456558917,-2.5755844544274904,0.0,-24.51302902001666,24.0,signal_exit
2025-01-28 08:00:00+00:00,2025-01-28 12:00:00+00:00,2025-01-31 20:00:00+00:00,long,102773.8229,102377.2776,0.03627582130053593,-14.385006440367336,-3.3489110976058294,0.0,-17.733917537973166,80.0,signal_exit
