entry_time,exit_time,symbol,dir,entry,exit,qty,pnl,reason
2025-07-06 00:00:00+00:00,2025-07-08 16:00:00+00:00,BTCUSDT,long,107996.3,105977.8673581145,0.09908678439384103,-208.48080487474607,stop
2025-07-08 16:00:00+00:00,2025-07-22 12:00:00+00:00,ETHUSDT,long,2609.23,2492.7716009942787,1.6815479654059515,-199.26208806716505,stop
2025-07-22 12:00:00+00:00,2025-07-23 20:00:00+00:00,SOLUSDT,long,201.86,185.513993639337,11.736514590061638,-193.6637103524252,stop
2025-07-23 20:00:00+00:00,2025-07-30 16:00:00+00:00,SOLUSDT,long,189.4,172.04722697496123,10.832382101862553,-189.53800172301388,stop
2025-08-06 04:00:00+00:00,2025-08-21 12:00:00+00:00,ETHUSDT,long,3638.4,3413.231196105098,0.8179690290739386,-186.48831426879923,stop
2025-08-22 12:00:00+00:00,2025-08-31 16:00:00+00:00,HYPEUSDT,long,43.664,108877.2,44.3182767729264,4821383.89662541,ema_inverse
2025-09-08 04:00:00+00:00,2025-09-27 04:00:00+00:00,HYPEUSDT,long,50.072,109354.8,31518.3393741076,3443724208.3445706,ema_inverse
2025-10-02 00:00:00+00:00,2025-10-10 04:00:00+00:00,BTCUSDT,long,118697.0,115453.7750810083,21266.206944909678,-70962891.83183904,stop
2025-10-17 04:00:00+00:00,2025-10-18 20:00:00+00:00,HYPEUSDT,short,33.674,39.49539675881714,11604059.516681142,-67891459.27344434,stop
2025-10-18 20:00:00+00:00,2025-10-20 08:00:00+00:00,BTCUSDT,short,107117.5,111624.54208881449,14686.795456900481,-67479053.12605312,stop
2025-10-21 04:00:00+00:00,2025-10-21 12:00:00+00:00,BTCUSDT,short,108020.0,112298.1255602598,15157.204550957831,-66180186.96969899,stop
2025-10-22 08:00:00+00:00,2025-10-26 08:00:00+00:00,BTCUSDT,short,107501.7,112944.88198980744,11669.795459914778,-64549847.080808185,stop
2025-10-28 12:00:00+00:00,2025-10-31 16:00:00+00:00,HYPEUSDT,long,47.67,42.491578434183666,12017141.273572354,-62663217.30072541,stop
2025-11-03 20:00:00+00:00,2026-01-05 00:00:00+00:00,BTCUSDT,short,106544.0,3184.74,14207.949296261671,1467899517.229422,ema_inverse
2026-01-10 16:00:00+00:00,2026-01-13 16:00:00+00:00,HYPEUSDT,short,24.134,26.02394341882071,47797488.87163494,-91293519.02605668,stop
2026-01-19 00:00:00+00:00,2026-01-19 04:00:00+00:00,HYPEUSDT,short,23.924,25.937873438711478,43949474.40451439,-89385240.4007638,stop
2026-01-23 12:00:00+00:00,2026-01-26 08:00:00+00:00,HYPEUSDT,short,22.322,24.423113899197332,41273809.27502089,-87492713.90681204,stop
2026-01-26 08:00:00+00:00,2026-01-28 16:00:00+00:00,BTCUSDT,short,87810.0,90536.44699418027,31165.51330130566,-87194423.48884505,stop
2026-01-28 16:00:00+00:00,2026-03-12 04:00:00+00:00,BTCUSDT,short,89363.6,36.803,26376.146267497326,2355153448.0366807,ema_inverse
2026-03-12 04:00:00+00:00,2026-03-13 12:00:00+00:00,HYPEUSDT,long,36.803,71800.0,38944447.886368304,2793659027873.3794,ema_inverse
2026-03-16 12:00:00+00:00,2026-03-21 20:00:00+00:00,HYPEUSDT,long,39.029,87.5,19091607792.085213,924423064473.2323,ema_inverse
2026-03-21 20:00:00+00:00,2026-03-22 04:00:00+00:00,SOLUSDT,short,87.5,92.2972951072943,15527911141.889174,-75608722716.27687,stop
2026-03-22 04:00:00+00:00,2026-03-25 04:00:00+00:00,BTCUSDT,short,68884.5,40.267,24815595.020651497,1707726441993.4653,ema_inverse
2026-03-25 04:00:00+00:00,2026-03-27 08:00:00+00:00,HYPEUSDT,long,40.267,66663.2,32890792045.85133,2190403462842952.0,ema_inverse
2026-03-27 08:00:00+00:00,2026-04-06 08:00:00+00:00,BTCUSDT,short,66663.2,70124.4375020821,12687717487.452076,-44609412743553.04,stop
2026-04-09 20:00:00+00:00,2026-04-30 04:00:00+00:00,HYPEUSDT,long,39.452,83.32,15424048672514.545,675864710644419.1,ema_inverse
2026-04-30 04:00:00+00:00,2026-04-30 08:00:00+00:00,SOLUSDT,short,83.32,38.874,15960025255943.857,708579194795230.5,ema_inverse
2026-05-02 08:00:00+00:00,2026-05-13 00:00:00+00:00,HYPEUSDT,long,41.52,40.236,33907140222661.78,-44645612908315.51,eod
