entry_time,exit_time,dir,entry,exit,qty,pnl,reason
2021-02-06 16:00:00+00:00,2021-04-22 04:00:00+00:00,long,40258.99,54159.51,0.032356159021889486,448.54542760671205,ema_inverse
2021-05-06 08:00:00+00:00,2021-05-10 20:00:00+00:00,long,58081.3,53824.59435735001,0.02454608400195138,-105.58419486935072,stop
2021-05-12 00:00:00+00:00,2021-05-12 20:00:00+00:00,long,57813.05,53508.37791571318,0.024027291812753565,-104.49951330079092,stop
2021-05-16 16:00:00+00:00,2021-07-26 20:00:00+00:00,short,45573.29,37218.09,0.0186157339805125,154.9216916315943,ema_inverse
2021-07-28 08:00:00+00:00,2021-09-21 00:00:00+00:00,long,40729.99,42668.97,0.024537207019964164,46.75860264886231,ema_inverse
2021-09-21 00:00:00+00:00,2021-10-01 08:00:00+00:00,short,42668.97,46303.55843259155,0.028724413251579522,-105.42369360706454,stop
2021-10-03 16:00:00+00:00,2021-11-20 04:00:00+00:00,long,48774.37,58405.34,0.039334397984269014,377.14206720696365,ema_inverse
2021-12-04 04:00:00+00:00,2022-02-09 00:00:00+00:00,short,47241.93,43321.58,0.01629949906054339,63.309285203535445,ema_inverse
2022-02-20 04:00:00+00:00,2022-02-28 16:00:00+00:00,short,38770.4,40948.255766625945,0.049476048127897646,-109.32936234496498,stop
2022-03-06 00:00:00+00:00,2022-03-09 04:00:00+00:00,short,39281.9,41820.038891279866,0.04202228785359028,-108.02163871038442,stop
2022-03-10 04:00:00+00:00,2022-03-19 08:00:00+00:00,short,39219.9,41718.6,0.03138830469743162,-79.44616586737352,ema_inverse
2022-03-27 12:00:00+00:00,2022-04-06 16:00:00+00:00,long,44836.1,43284.03232544626,0.06751234290483198,-107.16340369212728,stop
2022-04-11 20:00:00+00:00,2022-04-19 12:00:00+00:00,short,39505.6,41713.08672807494,0.04698197715077513,-105.23841681268587,stop
2022-04-21 20:00:00+00:00,2022-07-21 20:00:00+00:00,short,40449.8,23144.5,0.04512570359980994,779.7659434928162,ema_inverse
2022-07-26 12:00:00+00:00,2022-07-27 16:00:00+00:00,short,20737.6,22160.498812535152,0.07762840569742097,-111.78941069316444,stop
2022-08-20 08:00:00+00:00,2022-09-13 04:00:00+00:00,short,21220.1,22501.124755191122,0.08535312977820854,-110.83216952716259,stop
2022-09-13 12:00:00+00:00,2022-10-26 16:00:00+00:00,short,20823.9,20754.4,0.06722909090960152,3.5543132939906323,ema_inverse
2022-11-09 16:00:00+00:00,2022-12-15 08:00:00+00:00,short,16764.5,17712.1,0.05408821295704553,-51.99990167123022,ema_inverse
2022-12-16 12:00:00+00:00,2023-01-10 00:00:00+00:00,short,16961.8,17199.9,0.16237842579370984,-40.88115240885746,ema_inverse
2023-01-14 00:00:00+00:00,2023-03-06 08:00:00+00:00,long,20996.3,22370.0,0.09111705781516181,123.58693845495598,ema_inverse
2023-03-08 20:00:00+00:00,2023-03-13 00:00:00+00:00,short,21695.4,22517.52760611107,0.13206435552496754,-110.90933317641198,stop
2023-03-15 04:00:00+00:00,2023-05-10 04:00:00+00:00,long,24892.0,27532.4,0.04490696477335644,117.63066151394467,ema_inverse
2023-06-14 20:00:00+00:00,2023-06-16 16:00:00+00:00,short,25115.9,26112.873644569067,0.10897074996468675,-110.87394089724602,stop
2023-06-21 08:00:00+00:00,2023-07-26 04:00:00+00:00,long,28913.5,29205.3,0.08779065179797768,23.5763972611633,ema_inverse
2023-08-17 20:00:00+00:00,2023-08-29 16:00:00+00:00,short,26609.7,28000.829641145454,0.07746797071955228,-109.46021707184504,stop
2023-08-31 16:00:00+00:00,2023-09-18 12:00:00+00:00,short,26148.7,27247.42836873517,0.09708804393522547,-108.74703839945268,stop
2023-09-21 12:00:00+00:00,2023-09-30 12:00:00+00:00,short,26567.7,26986.2,0.11371525920188165,-50.02579422389613,ema_inverse
2023-09-30 12:00:00+00:00,2024-01-19 04:00:00+00:00,long,26986.2,41282.0,0.15095835504600283,2153.9481899970665,ema_inverse
2024-02-02 04:00:00+00:00,2024-04-16 08:00:00+00:00,long,43076.0,63064.6,0.07086140207256451,1413.4117127745337,ema_inverse
2024-05-17 12:00:00+00:00,2024-06-16 04:00:00+00:00,long,67170.0,66249.4,0.048581737872989604,-47.31704641306313,ema_inverse
2024-07-04 04:00:00+00:00,2024-07-14 20:00:00+00:00,short,58214.0,61113.0858008467,0.04838976767538899,-142.59577235770436,stop
2024-07-18 08:00:00+00:00,2024-08-02 20:00:00+00:00,long,64728.9,61694.81850021381,0.04576677675276655,-141.17453309075518,stop
2024-08-04 12:00:00+00:00,2024-08-23 16:00:00+00:00,short,59070.0,62772.1961711449,0.03712617564427993,-139.25779922988,stop
2024-08-25 00:00:00+00:00,2024-08-27 20:00:00+00:00,long,64065.0,61390.701232257605,0.050875320651650166,-138.60884693831477,stop
2024-08-29 16:00:00+00:00,2024-09-18 20:00:00+00:00,short,59237.0,61735.3,0.03898143872767542,-99.27359809343001,ema_inverse
