entry_time,exit_time,dir,entry,exit,qty,pnl,reason
2021-02-06 16:00:00+00:00,2021-04-22 04:00:00+00:00,long,40258.99,54159.51,0.06471231804377897,897.0908552134241,ema_inverse
2021-05-06 08:00:00+00:00,2021-05-10 20:00:00+00:00,long,58081.3,53824.59435735001,0.05119964484285784,-220.23363392303597,stop
2021-05-12 00:00:00+00:00,2021-05-12 20:00:00+00:00,long,57813.05,53508.37791571318,0.04960590266684286,-215.7460243929761,stop
2021-05-16 16:00:00+00:00,2021-07-26 20:00:00+00:00,short,45573.29,37218.09,0.03804111760506142,316.5813551645032,ema_inverse
2021-07-28 08:00:00+00:00,2021-09-21 00:00:00+00:00,long,40729.99,42668.97,0.050889005608288275,96.9751280370928,ema_inverse
2021-09-21 00:00:00+00:00,2021-10-01 08:00:00+00:00,short,42668.97,46303.55843259155,0.059839884937646796,-219.6229959475873,stop
2021-10-03 16:00:00+00:00,2021-11-20 04:00:00+00:00,long,48774.37,58405.34,0.08110714877077026,777.6633003231535,ema_inverse
2021-12-04 04:00:00+00:00,2022-02-09 00:00:00+00:00,short,47241.93,43321.58,0.03479272625193092,135.13928379701971,ema_inverse
2022-02-20 04:00:00+00:00,2022-02-28 16:00:00+00:00,short,38770.4,40948.255766625945,0.10623152777645281,-234.74439920318142,stop
2022-03-06 00:00:00+00:00,2022-03-09 04:00:00+00:00,short,39281.9,41820.038891279866,0.08930246416383981,-229.55909857795083,stop
2022-03-10 04:00:00+00:00,2022-03-19 08:00:00+00:00,short,39219.9,41718.6,0.06602148150761125,-167.10534771546955,ema_inverse
2022-03-27 12:00:00+00:00,2022-04-06 16:00:00+00:00,long,44836.1,43284.03232544626,0.14092733972981544,-223.69618278560563,stop
2022-04-11 20:00:00+00:00,2022-04-19 12:00:00+00:00,short,39505.6,41713.08672807494,0.09705827087197523,-217.40802291831557,stop
2022-04-21 20:00:00+00:00,2022-07-21 20:00:00+00:00,short,40449.8,23144.5,0.09226781482012492,1594.3751329683018,ema_inverse
2022-07-26 12:00:00+00:00,2022-07-27 16:00:00+00:00,short,20737.6,22160.498812535152,0.16993069701842473,-244.7100685335792,stop
