strategy,trades,return_pct,cagr,max_dd,wr,pf,sharpe,sortino,expectancy,worst_month,win_months_pct
v20,9,-5.99,-1.16,-6.06,33.33,0.14,-0.7,-0.06,-66.59,-5.99,0.0
v26,5,-4.89,-0.94,-4.96,0.0,0.0,-0.71,-0.07,-97.73,-4.89,0.0
