strategy,trades,return_pct,cagr,max_dd,wr,pf,sharpe,sortino,expectancy,worst_month,win_months_pct
v20,17,-5.29,-2.32,-5.52,58.82,0.34,-1.25,-0.26,-31.11,-5.29,0.0
v26,18,-2.63,-1.15,-4.58,55.56,0.22,-0.62,-0.09,-35.92,-2.63,0.0
