signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason,coin
2025-10-31 06:00:00+00:00,2025-10-31 07:00:00+00:00,2025-10-31 22:00:00+00:00,short,109606.1083,109618.8758,0.07541028538863276,-0.9628008186984031,-7.439318376884765,1.5523914218675574,-6.84972777371561,15.0,max_hold,BTC
2025-11-06 00:00:00+00:00,2025-11-06 01:00:00+00:00,2025-11-06 16:00:00+00:00,short,103670.8894,100847.2451,0.0818644433370656,231.15606880137827,-7.534243454929925,1.5824038740115183,225.20422922045984,15.0,max_hold,BTC
2025-11-08 03:00:00+00:00,2025-11-08 04:00:00+00:00,2025-11-08 19:00:00+00:00,short,102500.24070000001,101972.5826,0.08207919615447364,43.309752692398106,-7.552334237354877,0.0,35.75741845504323,15.0,max_hold,BTC
2025-11-20 09:00:00+00:00,2025-11-20 10:00:00+00:00,2025-11-21 01:00:00+00:00,short,91862.433,87090.1192,0.08168874801701574,389.84433946632714,-6.578284474650445,0.0,383.2660549916767,15.0,max_hold,BTC
2025-11-24 00:00:00+00:00,2025-11-24 01:00:00+00:00,2025-11-24 16:00:00+00:00,short,86678.9885,87696.1756118754,0.08985657921434304,-91.40095429403993,-7.0509400861647595,0.0,-98.45189438020469,15.0,trail_stop,BTC
2025-12-07 21:00:00+00:00,2025-12-07 22:00:00+00:00,2025-12-08 01:00:00+00:00,short,90158.9442,91317.81866259103,0.09947221346136095,-115.2758079177752,-8.123352882184996,0.0,-123.39916079996019,3.0,trail_stop,BTC
2025-12-16 17:00:00+00:00,2025-12-16 18:00:00+00:00,2025-12-17 09:00:00+00:00,short,87053.876,86394.9107,0.08809788065749612,58.053446356832076,-6.876211729897845,0.0,51.17723462693423,15.0,max_hold,BTC
2025-12-17 22:00:00+00:00,2025-12-17 23:00:00+00:00,2025-12-18 14:00:00+00:00,long,86342.8951,88277.5088,0.07592647203298525,146.88839298768025,-5.966240045895872,0.0,140.9221529417844,15.0,max_hold,BTC
2026-01-03 11:00:00+00:00,2026-01-03 12:00:00+00:00,2026-01-03 21:00:00+00:00,short,89694.0837,90668.17731505523,0.16773673936729497,-163.39128682786523,-13.614019905410256,0.0,-177.0053067332755,9.0,trail_stop,BTC
2026-01-08 23:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-09 15:00:00+00:00,short,91051.6763,91581.1050511069,0.12232382615377281,-64.76175051120923,-10.05315326818776,0.0,-74.81490377939699,15.0,trail_stop,BTC
2026-01-12 17:00:00+00:00,2026-01-12 18:00:00+00:00,2026-01-13 09:00:00+00:00,short,91453.5557,92448.64663766632,0.11355532126159905,-112.99787111120463,-9.39738315022618,0.0,-122.39525426143081,15.0,trail_stop,BTC
2026-01-15 17:00:00+00:00,2026-01-15 18:00:00+00:00,2026-01-16 09:00:00+00:00,short,96596.0125,95633.68149999999,0.09846194028733403,94.75297745865099,-8.51728889343622,0.0,86.23568856521477,15.0,max_hold,BTC
2026-01-16 22:00:00+00:00,2026-01-16 23:00:00+00:00,2026-01-17 14:00:00+00:00,short,95512.3377,95523.6485,0.1438810690951979,-1.6274099963208155,-12.368907868550163,0.0,-13.99631786487098,15.0,max_hold,BTC
2026-01-26 17:00:00+00:00,2026-01-26 18:00:00+00:00,2026-01-27 09:00:00+00:00,long,87676.295,87823.645,0.1113955756613475,16.4141380737002,-8.797462580174376,0.0,7.616675493525825,15.0,max_hold,BTC
2026-01-27 11:00:00+00:00,2026-01-27 12:00:00+00:00,2026-01-28 03:00:00+00:00,long,87981.3865,89065.2724,0.15454643889901762,167.510706017858,-12.312868793383828,0.0,155.1978372244742,15.0,max_hold,BTC
2026-01-28 15:00:00+00:00,2026-01-28 16:00:00+00:00,2026-01-29 07:00:00+00:00,short,89418.1665,88352.4978,0.1205550048724207,128.47169532088733,-9.644014485386982,0.0,118.82768083550036,15.0,max_hold,BTC
2026-01-30 20:00:00+00:00,2026-01-30 21:00:00+00:00,2026-01-31 12:00:00+00:00,short,83886.8264,82756.8196,0.07230695625245652,81.70735225257859,-5.422272669482333,0.0,76.28507958309625,15.0,max_hold,BTC
2026-02-02 20:00:00+00:00,2026-02-02 21:00:00+00:00,2026-02-03 12:00:00+00:00,short,77907.6207,78322.48969999999,0.07315057473343732,-30.347905789085786,-5.142745064892763,0.0,-35.49065085397855,15.0,max_hold,BTC
2026-02-11 18:00:00+00:00,2026-02-11 19:00:00+00:00,2026-02-12 10:00:00+00:00,long,67264.1732,67967.6036,0.07788192417417339,54.784513074608256,-4.7394499440043525,0.0,50.04506313060391,15.0,max_hold,BTC
2026-03-01 18:00:00+00:00,2026-03-01 19:00:00+00:00,2026-03-02 10:00:00+00:00,long,66297.88339999999,66260.11600000001,0.09808104129616647,-3.7042659190471157,-5.850641975979874,0.4191156705666478,-9.135792224460342,15.0,max_hold,BTC
2026-03-13 20:00:00+00:00,2026-03-13 21:00:00+00:00,2026-03-14 12:00:00+00:00,long,71337.3948,70708.781,0.09836299716193193,-61.83233742535045,-6.287439414185408,0.0,-68.11977683953586,15.0,max_hold,BTC
2026-03-20 05:00:00+00:00,2026-03-20 06:00:00+00:00,2026-03-20 21:00:00+00:00,short,70544.8302,70532.15329999999,0.1238132325880746,1.5695679681964865,-7.860238816909257,0.0,-6.290670848712771,15.0,max_hold,BTC
2026-04-02 16:00:00+00:00,2026-04-02 17:00:00+00:00,2026-04-03 08:00:00+00:00,long,67072.1156,66915.9192,0.13764561567538133,-21.499749644278232,-8.29928949443119,0.0,-29.79903913870942,15.0,max_hold,BTC
2026-04-09 05:00:00+00:00,2026-04-09 06:00:00+00:00,2026-04-09 21:00:00+00:00,long,70971.285,72223.3265,0.1414599203390232,177.11369085114998,-9.115334251095318,0.0,167.99835660005468,15.0,max_hold,BTC
2026-04-18 08:00:00+00:00,2026-04-18 09:00:00+00:00,2026-04-19 00:00:00+00:00,short,76668.9924,75644.6866,0.16199219616166538,165.9295460831319,-11.10313231500282,0.0,154.82641376812907,15.0,max_hold,BTC
2026-04-19 15:00:00+00:00,2026-04-19 16:00:00+00:00,2026-04-20 07:00:00+00:00,short,75787.257,75157.6685507233,0.16995211178877614,106.9998865123947,-11.544033987515258,0.0,95.45585252487943,15.0,trail_stop,BTC
2026-04-20 07:00:00+00:00,2026-04-20 08:00:00+00:00,2026-04-20 23:00:00+00:00,long,74819.4391,75778.25970000001,0.14208678097607802,136.23573258755263,-9.629074010203638,0.0,126.606658577349,15.0,max_hold,BTC
2026-04-27 14:00:00+00:00,2026-04-27 15:00:00+00:00,2026-04-27 15:00:00+00:00,long,77785.3286,76531.99717805136,0.16777723950985068,-210.28048616549782,-11.6509207174127,0.0,-221.93140688291052,0.0,stop,BTC
2026-05-03 05:00:00+00:00,2026-05-03 06:00:00+00:00,2026-05-03 21:00:00+00:00,long,78236.4639,78777.3597,0.29366883115704834,158.84423736375612,-20.74952972344994,0.0,138.09470764030618,15.0,max_hold,BTC
2026-05-13 05:00:00+00:00,2026-05-13 06:00:00+00:00,2026-05-13 21:00:00+00:00,short,80955.706,79386.8089,0.1968698595635075,308.86855174659456,-14.204973775690174,0.0,294.6635779709044,15.0,max_hold,BTC
