signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason,coin
2025-10-31 06:00:00+00:00,2025-10-31 07:00:00+00:00,2025-10-31 22:00:00+00:00,short,109606.1083,109618.8758,0.09426285673579095,-1.203501023373004,-9.299147971105956,1.9404892773344464,-8.562159717144514,15.0,max_hold,BTC
2025-11-06 00:00:00+00:00,2025-11-06 01:00:00+00:00,2025-11-06 16:00:00+00:00,short,103670.8894,100847.2451,0.10224293711645613,288.6976866041398,-9.409740644186288,1.9763112431761087,281.2642572031296,15.0,max_hold,BTC
2025-11-08 03:00:00+00:00,2025-11-08 04:00:00+00:00,2025-11-08 19:00:00+00:00,short,102500.24070000001,101972.5826,0.10539689131200311,55.61352341559966,-9.697859970123833,0.0,45.91566344547583,15.0,max_hold,BTC
2025-11-20 09:00:00+00:00,2025-11-20 10:00:00+00:00,2025-11-21 01:00:00+00:00,short,91862.433,87090.1192,0.10536437076957919,502.83184065197975,-8.484850377073474,0.0,494.34699027490626,15.0,max_hold,BTC
2025-11-24 00:00:00+00:00,2025-11-24 01:00:00+00:00,2025-11-24 16:00:00+00:00,short,86678.9885,87696.1756118754,0.12145200296358427,-123.53941212600978,-9.530195826820943,0.0,-133.06960795283072,15.0,trail_stop,BTC
2025-12-07 21:00:00+00:00,2025-12-07 22:00:00+00:00,2025-12-08 01:00:00+00:00,short,90158.9442,91317.81866259103,0.1327941011793335,-153.89169263945936,-10.84456962417277,0.0,-164.73626226363214,3.0,trail_stop,BTC
2025-12-16 17:00:00+00:00,2025-12-16 18:00:00+00:00,2025-12-17 09:00:00+00:00,short,87053.876,86394.9107,0.11579540152400737,76.30515150388922,-9.038057354900285,0.0,67.26709414898893,15.0,max_hold,BTC
2025-12-17 22:00:00+00:00,2025-12-17 23:00:00+00:00,2025-12-18 14:00:00+00:00,long,86342.8951,88277.5088,0.10043578373031496,194.3044431749046,-7.892161704450292,0.0,186.4122814704543,15.0,max_hold,BTC
2026-01-03 11:00:00+00:00,2026-01-03 12:00:00+00:00,2026-01-03 21:00:00+00:00,short,89694.0837,90668.17731505523,0.22579122699217968,-219.9417925485683,-18.325897297952892,0.0,-238.2676898465212,9.0,trail_stop,BTC
2026-01-08 23:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-09 15:00:00+00:00,short,91051.6763,91581.1050511069,0.1610174604135916,-85.24727297317216,-13.233179988641695,0.0,-98.48045296181385,15.0,trail_stop,BTC
2026-01-12 17:00:00+00:00,2026-01-12 18:00:00+00:00,2026-01-13 09:00:00+00:00,short,91453.5557,92448.64663766632,0.14807741803782817,-147.35049676246987,-12.254293482134344,0.0,-159.6047902446042,15.0,trail_stop,BTC
2026-01-15 17:00:00+00:00,2026-01-15 18:00:00+00:00,2026-01-16 09:00:00+00:00,short,96596.0125,95633.68149999999,0.1264311045663158,121.66857128840795,-10.936715644289198,0.0,110.73185564411875,15.0,max_hold,BTC
2026-01-16 22:00:00+00:00,2026-01-16 23:00:00+00:00,2026-01-17 14:00:00+00:00,short,95512.3377,95523.6485,0.1867435485488746,-2.1122189289251194,-16.053632083584827,0.0,-18.165851012509947,15.0,max_hold,BTC
2026-01-26 17:00:00+00:00,2026-01-26 18:00:00+00:00,2026-01-27 09:00:00+00:00,long,87676.295,87823.645,0.14432760743286482,21.26667295523347,-11.3982689001651,0.0,9.868404055068371,15.0,max_hold,BTC
2026-01-27 11:00:00+00:00,2026-01-27 12:00:00+00:00,2026-01-28 03:00:00+00:00,long,87981.3865,89065.2724,0.2004258623101648,217.23876615333074,-15.96812817562475,0.0,201.270637977706,15.0,max_hold,BTC
2026-01-28 15:00:00+00:00,2026-01-28 16:00:00+00:00,2026-01-29 07:00:00+00:00,short,89418.1665,88352.4978,0.15937658520170203,169.8426383623385,-12.749616641327453,0.0,157.09302172101104,15.0,max_hold,BTC
2026-01-30 20:00:00+00:00,2026-01-30 21:00:00+00:00,2026-01-31 12:00:00+00:00,short,83886.8264,82756.8196,0.09701138158329425,109.62352086651755,-7.274848648741833,0.0,102.34867221777571,15.0,max_hold,BTC
2026-02-02 20:00:00+00:00,2026-02-02 21:00:00+00:00,2026-02-03 12:00:00+00:00,short,77907.6207,78322.48969999999,0.09907908913666688,-41.10484263103901,-6.965611665368808,0.0,-48.07045429640782,15.0,max_hold,BTC
2026-02-11 18:00:00+00:00,2026-02-11 19:00:00+00:00,2026-02-12 10:00:00+00:00,long,67264.1732,67967.6036,0.10501950691544841,73.87391375733637,-6.39088853347619,0.0,67.48302522386018,15.0,max_hold,BTC
2026-03-01 18:00:00+00:00,2026-03-01 19:00:00+00:00,2026-03-02 10:00:00+00:00,long,66297.88339999999,66260.11600000001,0.13308426014071267,-5.0262464864360155,-7.938622474146916,0.5686899139081742,-12.396179046674757,15.0,max_hold,BTC
2026-03-13 20:00:00+00:00,2026-03-13 21:00:00+00:00,2026-03-14 12:00:00+00:00,long,71337.3948,70708.781,0.1333144249136654,-83.80328723979281,-8.521561907083086,0.0,-92.32484914687589,15.0,max_hold,BTC
2026-03-20 05:00:00+00:00,2026-03-20 06:00:00+00:00,2026-03-20 21:00:00+00:00,short,70544.8302,70532.15329999999,0.16637903964217143,2.1091704476408153,-10.56251386365501,0.0,-8.453343416014194,15.0,max_hold,BTC
2026-04-02 16:00:00+00:00,2026-04-02 17:00:00+00:00,2026-04-03 08:00:00+00:00,long,67072.1156,66915.9192,0.1848214182401783,-28.86844017201032,-11.143736378527665,0.0,-40.01217655053799,15.0,max_hold,BTC
2026-04-09 05:00:00+00:00,2026-04-09 06:00:00+00:00,2026-04-09 21:00:00+00:00,long,70971.285,72223.3265,0.1892354990570268,236.93069809260692,-12.193876696265807,0.0,224.7368213963411,15.0,max_hold,BTC
2026-04-18 08:00:00+00:00,2026-04-18 09:00:00+00:00,2026-04-19 00:00:00+00:00,short,76668.9924,75644.6866,0.22125288822101963,226.6306166715425,-15.164928627443668,0.0,211.46568804409884,15.0,max_hold,BTC
2026-04-19 15:00:00+00:00,2026-04-19 16:00:00+00:00,2026-04-20 07:00:00+00:00,short,75787.257,75157.6685507233,0.2366171149479987,148.97140247243544,-16.07226875993367,0.0,132.89913371250177,15.0,trail_stop,BTC
2026-04-20 07:00:00+00:00,2026-04-20 08:00:00+00:00,2026-04-20 23:00:00+00:00,long,74819.4391,75778.25970000001,0.20018179831975672,191.9384319740294,-13.56611317587048,0.0,178.37231879815894,15.0,max_hold,BTC
2026-04-27 14:00:00+00:00,2026-04-27 15:00:00+00:00,2026-04-27 15:00:00+00:00,long,77785.3286,76531.99717805136,0.2401171656740523,-300.9463886885359,-16.674407496101274,0.0,-317.62079618463713,0.0,stop,BTC
2026-05-03 05:00:00+00:00,2026-05-03 06:00:00+00:00,2026-05-03 21:00:00+00:00,long,78236.4639,78777.3597,0.4086295790445289,221.02602306095304,-28.872221688827963,0.0,192.1538013721251,15.0,max_hold,BTC
2026-05-13 05:00:00+00:00,2026-05-13 06:00:00+00:00,2026-05-13 21:00:00+00:00,short,80955.706,79386.8089,0.27866596536374855,437.1982249278861,-20.106900766556883,0.0,417.0913241613292,15.0,max_hold,BTC
