strategy,trades,return_pct,cagr,max_dd,wr,pf,sharpe,sortino,expectancy,worst_month,win_months_pct
v20,15,-0.96,-4.43,-4.23,53.33,0.84,-0.7,-1.73,-6.43,0.0,0.0
v26,17,-1.32,-6.03,-4.51,47.06,0.35,-1.18,-1.31,-27.48,0.0,0.0
