strategy,trades,return_pct,cagr,max_dd,wr,pf,sharpe,sortino,expectancy,worst_month,win_months_pct
v20,9,-5.89,-1.14,-5.96,33.33,0.14,-0.7,-0.06,-65.41,-5.89,0.0
v26,5,-4.81,-0.93,-4.88,0.0,0.0,-0.71,-0.07,-96.26,-4.81,0.0
