entry_time,exit_time,symbol,dir,entry,exit,qty,pnl,reason
2021-02-06 16:00:00+00:00,2021-02-28 12:00:00+00:00,BTCUSDT,long,40258.99,43424.6,0.06471231804377897,202.68781748611713,regime_switch
2021-03-04 04:00:00+00:00,2021-03-27 00:00:00+00:00,BTCUSDT,long,49708.93,54761.83,0.04269596972166239,213.95427324428434,regime_switch
2021-03-28 04:00:00+00:00,2021-04-18 00:00:00+00:00,BTCUSDT,long,56209.31,52632.467375873945,0.058244900239498514,-210.86863320066703,stop
2021-04-29 12:00:00+00:00,2021-04-30 20:00:00+00:00,ETHUSDT,long,2778.21,2773.15,0.7743763677783747,-5.637881218170597,regime_switch
2021-05-06 04:00:00+00:00,2021-05-13 04:00:00+00:00,ETHUSDT,long,3440.8,3971.13,0.48711566842091203,256.8878655391666,regime_switch
2021-05-16 16:00:00+00:00,2021-06-03 08:00:00+00:00,BTCUSDT,short,45573.29,38783.65,0.038026252762546627,256.901455477611,regime_switch
2021-06-05 12:00:00+00:00,2021-06-12 16:00:00+00:00,BTCUSDT,short,36316.45,35719.8,0.061398338410542624,34.864156190519324,regime_switch
2021-06-17 16:00:00+00:00,2021-06-28 08:00:00+00:00,BTCUSDT,short,37682.27,34099.32,0.07019089199063916,249.47509092561785,regime_switch
2021-07-02 00:00:00+00:00,2021-07-02 12:00:00+00:00,ETHUSDT,short,2040.09,2123.46,0.9229512226040217,-78.48354485364659,regime_switch
2021-07-02 12:00:00+00:00,2021-07-04 08:00:00+00:00,BTCUSDT,short,33684.88,35492.0,0.07720853265486574,-141.66150169063786,regime_switch
2021-07-05 00:00:00+00:00,2021-07-05 04:00:00+00:00,BTCUSDT,short,34345.63,34237.24,0.09735098114389973,7.881228972521425,regime_switch
2021-07-05 16:00:00+00:00,2021-07-07 16:00:00+00:00,BTCUSDT,short,34098.7,34610.55,0.09364218366092088,-50.50438538992455,regime_switch
2021-07-12 08:00:00+00:00,2021-07-13 04:00:00+00:00,BTCUSDT,short,33524.79,33159.99,0.1161245245136649,39.26473119466595,regime_switch
2021-07-13 04:00:00+00:00,2021-07-13 20:00:00+00:00,ETHUSDT,short,2026.69,1940.32,1.3697862426355818,116.13485548747624,regime_switch
2021-07-14 00:00:00+00:00,2021-07-14 16:00:00+00:00,BTCUSDT,short,31808.0,32717.98,0.11292167243182216,-105.6710161102704,regime_switch
2021-07-14 20:00:00+00:00,2021-07-15 20:00:00+00:00,ETHUSDT,short,1993.82,1919.35,1.2809501236434473,93.38732546959243,regime_switch
2021-07-16 04:00:00+00:00,2021-07-18 00:00:00+00:00,BTCUSDT,short,31768.61,32155.46,0.12145800145441642,-50.091663777453704,regime_switch
2021-07-19 08:00:00+00:00,2021-07-20 00:00:00+00:00,SOLUSDT,short,24.79,22.838,73.22408586875433,141.5384089111055,regime_switch
2021-07-20 00:00:00+00:00,2021-07-21 08:00:00+00:00,BTCUSDT,short,29582.94,31433.370573593565,0.11856763219550434,-222.29499544116476,stop
2021-07-28 08:00:00+00:00,2021-07-30 00:00:00+00:00,BTCUSDT,long,40729.99,39951.21,0.05074769008527636,-41.15903989793475,regime_switch
2021-08-01 00:00:00+00:00,2021-08-01 20:00:00+00:00,ETHUSDT,long,2615.71,2554.71,1.0927500947355056,-68.91774655679478,regime_switch
2021-08-02 04:00:00+00:00,2021-08-03 00:00:00+00:00,ETHUSDT,long,2617.49,2533.98,0.9304298339477047,-79.61742798364723,regime_switch
2021-08-04 12:00:00+00:00,2021-08-14 20:00:00+00:00,ETHUSDT,long,2672.39,3266.31,0.8621856685833376,510.0212074730096,regime_switch
2021-08-14 20:00:00+00:00,2021-08-19 00:00:00+00:00,BTCUSDT,long,47083.74,44197.25523292144,0.0766890628108424,-224.161913195769,stop
2021-08-19 12:00:00+00:00,2021-08-20 20:00:00+00:00,BTCUSDT,long,45789.99,49332.74,0.07034673979007333,246.54428281710975,regime_switch
2021-08-20 20:00:00+00:00,2021-08-22 12:00:00+00:00,ETHUSDT,long,3286.62,3181.85,0.9260806900536427,-99.42160396139664,regime_switch
2021-08-22 12:00:00+00:00,2021-08-25 08:00:00+00:00,BTCUSDT,long,48549.78,47592.49,0.08284308532531569,-82.49074606186335,regime_switch
2021-08-25 12:00:00+00:00,2021-08-28 12:00:00+00:00,ETHUSDT,long,3217.47,3248.0,0.9355216908491024,26.142042251009627,regime_switch
2021-08-28 12:00:00+00:00,2021-08-31 00:00:00+00:00,BTCUSDT,long,48840.0,47177.21,0.08803455580834069,-149.76411202547337,regime_switch
2021-08-31 00:00:00+00:00,2021-08-31 20:00:00+00:00,SOLUSDT,long,115.235,108.341,13.348782366220364,-93.22029257924729,regime_switch
2021-08-31 20:00:00+00:00,2021-09-01 00:00:00+00:00,ETHUSDT,long,3430.49,3444.05,0.8669526562415271,9.371917733260002,regime_switch
