entry_time,exit_time,dir,entry,exit,qty,pnl,reason
2021-02-06 16:00:00+00:00,2021-02-07 00:00:00+00:00,long,40258.99,38457.913234835636,0.04853423853283423,-88.9420753196988,trailing_stop
2021-02-07 00:00:00+00:00,2021-02-07 12:00:00+00:00,long,38904.05,37608.16691579224,0.04596093452332155,-60.966626779913476,trailing_stop
2021-02-07 12:00:00+00:00,2021-02-08 12:00:00+00:00,long,37965.79,42133.02715371796,0.04385316536634134,181.34150535303903,trailing_stop
2021-02-08 12:00:00+00:00,2021-02-08 20:00:00+00:00,long,43785.81,43795.959331522114,0.034234485102273955,-0.8518695721723963,trailing_stop
2021-02-08 20:00:00+00:00,2021-02-10 12:00:00+00:00,long,46451.32,45025.105400827124,0.029941669150657556,-43.798828412046475,trailing_stop
2021-02-10 12:00:00+00:00,2021-02-13 12:00:00+00:00,long,44397.24,46330.96369085998,0.029147418694184826,55.305256880220774,trailing_stop
2021-02-13 12:00:00+00:00,2021-02-15 00:00:00+00:00,long,47127.31,47280.14491151865,0.03406387994196287,3.91979639301892,trailing_stop
2021-02-15 00:00:00+00:00,2021-02-16 16:00:00+00:00,long,47165.18,47997.287652417646,0.03410647323814034,27.081994915929194,trailing_stop
2021-02-16 16:00:00+00:00,2021-02-20 20:00:00+00:00,long,48600.63,54964.76792574283,0.03388191681207877,214.2255941017623,trailing_stop
2021-02-20 20:00:00+00:00,2021-02-22 04:00:00+00:00,long,55917.41,55554.73061327369,0.034269135706390806,-13.956730687297817,trailing_stop
2021-02-22 04:00:00+00:00,2021-02-22 08:00:00+00:00,long,56489.93,53538.872416547216,0.034812462062678046,-104.26572957269958,trailing_stop
2021-02-22 08:00:00+00:00,2021-02-22 12:00:00+00:00,long,54606.16,51408.8922439367,0.03180556982759879,-103.03967053176987,trailing_stop
2021-02-22 12:00:00+00:00,2021-02-23 00:00:00+00:00,long,53277.04,51058.64086732104,0.025341125281945005,-57.27432377067004,trailing_stop
2021-03-01 12:00:00+00:00,2021-03-04 00:00:00+00:00,long,49184.51,49487.99699383721,0.026500873468601208,6.99670737397663,trailing_stop
2021-03-04 00:00:00+00:00,2021-03-05 00:00:00+00:00,long,49611.69,47490.567684205664,0.030301204238115186,-65.4494866417366,trailing_stop
2021-03-05 16:00:00+00:00,2021-03-10 04:00:00+00:00,long,49298.42,53136.531369490345,0.029477546320888153,111.93029326933033,trailing_stop
2021-03-10 04:00:00+00:00,2021-03-11 08:00:00+00:00,long,54190.9,54701.121235527215,0.036536542819089364,17.05030482043709,trailing_stop
2021-03-11 08:00:00+00:00,2021-03-12 12:00:00+00:00,long,56284.27,55418.82392784934,0.034932561484408556,-31.793078205495934,trailing_stop
2021-03-12 12:00:00+00:00,2021-03-13 08:00:00+00:00,long,57014.47,57335.63687462794,0.033952748880457934,9.35149805769683,trailing_stop
2021-03-13 08:00:00+00:00,2021-03-14 20:00:00+00:00,long,59905.92,59140.51505777064,0.0328187754525693,-26.682436217548116,trailing_stop
2021-03-14 20:00:00+00:00,2021-03-15 04:00:00+00:00,long,59037.12,57673.5048202206,0.03494749620149669,-49.286433962675424,trailing_stop
2021-03-15 04:00:00+00:00,2021-03-15 08:00:00+00:00,long,57830.61,54886.14772763919,0.03097977660522747,-92.61555940988552,trailing_stop
2021-03-15 08:00:00+00:00,2021-03-16 00:00:00+00:00,long,56182.03,53835.086380329194,0.027840960034944257,-66.56635637564412,trailing_stop
2021-03-16 20:00:00+00:00,2021-03-18 20:00:00+00:00,long,56954.19,57130.349476753916,0.029396329458808015,3.836975332503258,trailing_stop
2021-03-18 20:00:00+00:00,2021-03-21 04:00:00+00:00,long,57700.01,57309.73175128972,0.02907268267371451,-12.68389236973548,trailing_stop
2021-03-21 16:00:00+00:00,2021-03-22 16:00:00+00:00,long,57567.86,55925.09720876407,0.036029936073424605,-60.824295949237445,trailing_stop
2021-03-24 08:00:00+00:00,2021-03-24 20:00:00+00:00,long,56591.65,54552.482435856684,0.03597240272850949,-74.9530054454345,trailing_stop
2021-03-26 20:00:00+00:00,2021-03-31 04:00:00+00:00,long,55030.0,57485.09809549873,0.033904831320806204,81.71376463512833,trailing_stop
2021-03-31 04:00:00+00:00,2021-04-03 16:00:00+00:00,long,58244.24,58456.40713848056,0.04007883551230061,6.632521427940972,trailing_stop
2021-04-03 16:00:00+00:00,2021-04-04 00:00:00+00:00,long,58657.0,56653.923057160515,0.048752175238432005,-99.90302146448843,trailing_stop
2021-04-04 12:00:00+00:00,2021-04-06 12:00:00+00:00,long,57957.58,57781.21512714804,0.0468028558120982,-10.421142170490162,trailing_stop
