signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,bars_held,reason
2024-03-11 20:00:00+00:00,2024-03-12 00:00:00+00:00,2024-03-15 00:00:00+00:00,long,72176.6465,68010.92843765381,0.04864681871340257,-202.64893139010172,-3.068855794738612,-23.475801708494885,-229.19358889333523,72.0,18,stop
2024-03-20 20:00:00+00:00,2024-03-21 00:00:00+00:00,2024-03-26 04:00:00+00:00,long,67907.3661,70525.8359,0.032277043157175625,84.51646274036123,-2.010696495903005,-8.142299262581949,74.36346698187629,124.0,30,max_hold_time
2024-03-26 12:00:00+00:00,2024-03-26 16:00:00+00:00,2024-03-31 20:00:00+00:00,long,70353.0996,71101.6631,0.04602282305533174,34.451005506179996,-2.929566381334218,-31.798611264887107,-0.27717214004132984,124.0,30,max_hold_time
2024-04-04 16:00:00+00:00,2024-04-04 20:00:00+00:00,2024-04-09 12:00:00+00:00,long,68499.5437,69266.80766477059,0.05503228181062091,42.22428673238968,-3.411718502547183,-12.99604050781727,25.816527722025228,112.0,28,trailing_stop
2024-04-09 12:00:00+00:00,2024-04-09 16:00:00+00:00,2024-04-12 16:00:00+00:00,long,69345.7975,67877.18767180719,0.05629907675323835,-82.6813774379874,-3.4764873185232275,-9.726020104037655,-95.88388486054828,72.0,18,trailing_stop
2024-05-17 12:00:00+00:00,2024-05-17 16:00:00+00:00,2024-05-22 20:00:00+00:00,long,67211.15729999999,69714.0795,0.06815173552996806,170.57849182648687,-4.199261636597333,-6.409892674476425,159.96933751541312,124.0,30,max_hold_time
2024-05-22 16:00:00+00:00,2024-05-22 20:00:00+00:00,2024-05-23 20:00:00+00:00,long,69755.9205,66678.39579221736,0.06570328782672814,-202.2034916693099,-4.03388241875569,-1.879850804079061,-208.11722489214466,24.0,6,stop
2024-05-23 20:00:00+00:00,2024-05-24 00:00:00+00:00,2024-05-28 00:00:00+00:00,long,68025.40149999999,67855.95845479978,0.05665750203423249,-9.600219678117588,-3.464414292624005,-10.024016948376948,-23.088650919118543,96.0,24,trailing_stop
2024-06-04 00:00:00+00:00,2024-06-04 04:00:00+00:00,2024-06-07 16:00:00+00:00,long,69263.7729,69614.74071854512,0.08251625013260465,28.96054830356367,-5.1568803755064945,-12.044714727689934,11.75895320036724,84.0,21,trailing_stop
2024-06-09 16:00:00+00:00,2024-06-09 20:00:00+00:00,2024-06-11 00:00:00+00:00,long,69779.9277,68111.36316322285,0.12038607470915604,-200.87193498150236,-7.47008605962086,-3.477065064203153,-211.81908610532636,28.0,7,stop
2024-06-12 12:00:00+00:00,2024-06-12 16:00:00+00:00,2024-06-12 16:00:00+00:00,long,69765.9235,67224.66066502164,0.07641212245032056,-194.1832869248154,-4.71048358129136,0.0,-198.89377050610676,0.0,0,stop
2024-07-04 04:00:00+00:00,2024-07-04 08:00:00+00:00,2024-07-06 16:00:00+00:00,short,58173.542700000005,57740.677327304504,0.06466783578448083,27.9924668382608,-3.373164785615358,0.7721850633408025,25.391487115986244,56.0,14,trailing_stop
2024-07-06 16:00:00+00:00,2024-07-06 20:00:00+00:00,2024-07-10 04:00:00+00:00,short,57820.6486,58350.89437223957,0.056864023577643294,-30.151908094576598,-2.972691611381084,0.6092725536444039,-32.51532715231328,80.0,20,trailing_stop
2024-07-18 04:00:00+00:00,2024-07-18 08:00:00+00:00,2024-07-23 12:00:00+00:00,long,64737.4154,66647.9996,0.05890072684170101,112.5347980722697,-3.4824133979543364,-11.59804861813161,97.45433605618375,124.0,30,max_hold_time
