signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,bars_held,reason
2024-03-11 20:00:00+00:00,2024-03-12 00:00:00+00:00,2024-03-15 00:00:00+00:00,long,72198.29299999999,67984.89670138423,0.04864681871340257,-204.9683259064821,-3.068759797231392,-35.21370256274233,-243.25078826645583,72.0,18,stop
2024-03-20 20:00:00+00:00,2024-03-21 00:00:00+00:00,2024-03-26 04:00:00+00:00,long,67927.7322,70504.6718,0.032230606372764516,83.05632589398917,-2.0077921451517806,-12.195877479712117,68.85265626912528,124.0,30,max_hold_time
2024-03-26 12:00:00+00:00,2024-03-26 16:00:00+00:00,2024-03-31 20:00:00+00:00,long,70374.19919999999,71080.3262,0.045931349258852984,32.433365858106434,-2.9237387446767107,-47.603113726793275,-18.093486613363552,124.0,30,max_hold_time
2024-04-04 16:00:00+00:00,2024-04-04 20:00:00+00:00,2024-04-09 12:00:00+00:00,long,68520.08739999999,69218.28207893658,0.05482330597453098,38.277340513130106,-3.3980727484695326,-19.420035344053993,15.459232420606583,112.0,28,trailing_stop
2024-04-09 12:00:00+00:00,2024-04-09 16:00:00+00:00,2024-04-12 16:00:00+00:00,long,69366.595,67829.6355987785,0.056026775233942464,-86.11087891593148,-3.4589980686158563,-14.51846745226722,-104.08834443681455,72.0,18,trailing_stop
2024-05-17 12:00:00+00:00,2024-05-17 16:00:00+00:00,2024-05-22 20:00:00+00:00,long,67231.3146,69693.159,0.06776167000207758,166.8186878292628,-4.175203947881123,-10.378894371471155,152.26458950991054,124.0,30,max_hold_time
2024-05-22 16:00:00+00:00,2024-05-22 20:00:00+00:00,2024-05-23 20:00:00+00:00,long,69776.841,66652.57266461533,0.0652823361344287,-203.9595356447338,-4.007893878664397,-2.801710297925357,-210.76913982132353,24.0,6,stop
2024-05-23 20:00:00+00:00,2024-05-24 00:00:00+00:00,2024-05-28 00:00:00+00:00,long,68045.803,67808.42125412088,0.05627129124687096,-13.357777359054467,-3.4401116790546107,-14.933531048321242,-31.73142008643032,96.0,24,trailing_stop
2024-06-04 00:00:00+00:00,2024-06-04 04:00:00+00:00,2024-06-07 16:00:00+00:00,long,69284.54579999999,69565.97138457496,0.08187893720671513,23.042827767777244,-5.11601974995408,-17.92753135188169,-0.000723334058527314,84.0,21,trailing_stop
2024-06-09 16:00:00+00:00,2024-06-09 20:00:00+00:00,2024-06-11 00:00:00+00:00,long,69800.8554,68084.54334455689,0.11931168216007526,-204.77607844653357,-7.4031024912866155,-5.1690506911912335,-217.34823162901142,28.0,7,stop
2024-06-12 12:00:00+00:00,2024-06-12 16:00:00+00:00,2024-06-12 16:00:00+00:00,long,69786.847,67198.4578413554,0.07567052199516107,-195.86475876125243,-4.664587285355232,0.0,-200.52934604660766,0.0,0,stop
2024-07-04 04:00:00+00:00,2024-07-04 08:00:00+00:00,2024-07-06 16:00:00+00:00,short,58156.085399999996,57781.06349250147,0.06401543362901604,24.00719002889907,-3.3397950870293753,-1.2841772263757067,19.383217715493988,56.0,14,trailing_stop
2024-07-06 16:00:00+00:00,2024-07-06 20:00:00+00:00,2024-07-10 04:00:00+00:00,short,57803.2972,58391.7073479196,0.05625529270601418,-33.10118510240598,-2.9414627963189397,-2.3691938356154507,-38.41184173434036,80.0,20,trailing_stop
2024-07-18 04:00:00+00:00,2024-07-18 08:00:00+00:00,2024-07-23 12:00:00+00:00,long,64756.830799999996,66627.99919999999,0.05823063284974068,108.95932010043641,-3.442779808990017,-17.199152210912516,88.31738808053389,124.0,30,max_hold_time
2024-07-23 08:00:00+00:00,2024-07-23 12:00:00+00:00,2024-07-25 04:00:00+00:00,long,66708.0008,63767.10586887294,0.06523532998909684,-191.85025129533568,-3.830213987507941,-3.9940118640172626,-199.67447714686088,40.0,10,stop
2024-07-25 20:00:00+00:00,2024-07-26 00:00:00+00:00,2024-07-29 16:00:00+00:00,long,65897.51479999999,66739.09939732966,0.05849816942346097,49.23115835876606,-3.4915496080813284,-13.730410218614136,32.0091985320706,88.0,22,trailing_stop
2024-07-29 16:00:00+00:00,2024-07-29 20:00:00+00:00,2024-08-01 00:00:00+00:00,long,67418.4268,64073.160308517916,0.056093282795781366,-187.64697933395595,-3.319107651424897,-4.5941721904163675,-195.56025917579723,52.0,13,stop
2024-08-04 12:00:00+00:00,2024-08-04 16:00:00+00:00,2024-08-07 00:00:00+00:00,short,59085.5274,57328.72253551665,0.04831940196652234,84.88776042371265,-2.5312801217694414,0.0,82.35648030194321,56.0,14,trailing_stop
2024-08-07 00:00:00+00:00,2024-08-07 04:00:00+00:00,2024-08-08 16:00:00+00:00,short,56836.8774,59836.55144140193,0.03065191400825267,-91.9457507698397,-1.6093187585525874,-0.026381074551596592,-93.58145060294389,36.0,9,trailing_stop
2024-08-11 20:00:00+00:00,2024-08-12 00:00:00+00:00,2024-08-17 04:00:00+00:00,short,58692.763199999994,59181.48759999999,0.05232613584144947,-25.57305934343084,-2.775556826806447,-0.5643307159945896,-28.91294688623188,124.0,30,max_hold_time
2024-08-25 00:00:00+00:00,2024-08-25 04:00:00+00:00,2024-08-27 12:00:00+00:00,long,64172.48039999999,61383.60520742861,0.0658346657524501,-183.60466612823674,-3.719674318117983,-9.917858083622246,-197.24219852997697,56.0,14,stop
2024-08-29 16:00:00+00:00,2024-08-29 20:00:00+00:00,2024-09-03 00:00:00+00:00,short,59209.452999999994,59885.64232869797,0.05016328138951082,-33.91987556806098,-2.688390350587841,-0.27189074853602097,-36.88015666718484,100.0,25,trailing_stop
2024-09-03 00:00:00+00:00,2024-09-03 04:00:00+00:00,2024-09-08 08:00:00+00:00,short,59023.5646,54467.66099999999,0.06828650511175824,311.1067344700781,-3.4874636206833483,-0.6546865639638395,306.96458428543093,124.0,30,max_hold_time
2024-09-08 04:00:00+00:00,2024-09-08 08:00:00+00:00,2024-09-09 16:00:00+00:00,short,54402.339,57070.245120349,0.06931096766386617,-184.91515483774006,-3.4768227030179,-0.3317802463950207,-188.72375778715298,32.0,8,stop
2024-09-16 12:00:00+00:00,2024-09-16 16:00:00+00:00,2024-09-17 12:00:00+00:00,short,57858.2642,60142.4164143439,0.07985883745357027,-182.4097404045021,-4.240528727666197,0.0,-186.6502691321683,20.0,5,stop
2024-09-18 20:00:00+00:00,2024-09-19 00:00:00+00:00,2024-09-24 04:00:00+00:00,long,61856.0914,63129.099799999996,0.05308726056845598,67.58052863663318,-2.985804635594711,-10.053677567912118,54.54104643312634,124.0,30,max_hold_time
2024-09-24 00:00:00+00:00,2024-09-24 04:00:00+00:00,2024-09-29 08:00:00+00:00,long,63204.9002,65439.7126,0.07375802433585757,164.83534738527644,-4.269857616710718,-20.661046094742268,139.90444367382347,124.0,30,max_hold_time
2024-09-29 04:00:00+00:00,2024-09-29 08:00:00+00:00,2024-09-30 08:00:00+00:00,long,65518.287399999994,63601.740435352156,0.09630531592577009,-184.57366091698572,-5.595725282862517,-10.773670040654334,-200.94305624050259,24.0,6,stop
2024-10-06 12:00:00+00:00,2024-10-06 16:00:00+00:00,2024-10-09 16:00:00+00:00,long,62743.6236,61541.36799005199,0.09285659833585642,-111.63736626997208,-5.193306694463738,-7.859853730383443,-124.69052669481927,72.0,18,trailing_stop
2024-10-11 12:00:00+00:00,2024-10-11 16:00:00+00:00,2024-10-16 20:00:00+00:00,long,62281.346399999995,67721.3428,0.06910983185698863,375.9572365066237,-4.043008796205758,-9.400438203264347,362.5137895071536,124.0,30,max_hold_time
2024-10-16 16:00:00+00:00,2024-10-16 20:00:00+00:00,2024-10-21 12:00:00+00:00,long,67802.6572,67285.0927985246,0.05977009462712735,-30.934873251817613,-3.633393420169892,-9.072074319368056,-43.640340991355565,112.0,28,trailing_stop
