entry_time,exit_time,dir,entry,exit,qty,pnl,reason
2024-01-17 16:30:00+00:00,2024-01-17 19:15:00+00:00,short,42360.957639,42675.0,0.3661926360310355,-130.56977074262443,stop
2024-01-18 18:00:00+00:00,2024-01-18 20:45:00+00:00,short,41457.65854229999,41101.76367994755,0.15457918705924145,48.63295431540314,stop
2024-01-19 03:15:00+00:00,2024-01-19 03:30:00+00:00,short,41002.1589978,40997.3281831017,0.5565393229597778,-20.129431197820036,stop
2024-01-19 05:00:00+00:00,2024-01-19 06:00:00+00:00,short,41078.2589217,41261.73064462553,0.6204020779731355,-139.36818846592934,stop
2024-01-19 12:45:00+00:00,2024-01-19 14:15:00+00:00,short,41293.8587061,41244.076865646246,0.2817685417905024,2.3986597180769698,stop
2024-01-19 14:30:00+00:00,2024-01-19 16:15:00+00:00,short,41049.95895,40807.18948511245,0.13862172902726053,27.979533253076468,stop
2024-01-22 07:30:00+00:00,2024-01-22 09:00:00+00:00,short,41054.7589452,40978.8454128952,0.401843468764303,14.023023082265336,stop
2024-01-22 10:15:00+00:00,2024-01-22 13:00:00+00:00,short,40508.65949129999,41050.0,0.20824992062813052,-121.22641015236812,stop
2024-01-22 14:00:00+00:00,2024-01-22 15:45:00+00:00,short,40861.7591382,40654.9200073219,0.14203675235784963,23.589576226032037,stop
2024-01-22 16:30:00+00:00,2024-01-22 18:45:00+00:00,short,40433.15956679999,40320.03323042435,0.12486148722358877,9.083640728661603,stop
2024-01-22 19:15:00+00:00,2024-01-23 00:15:00+00:00,short,39964.960035,39717.4,0.06667110883348996,13.84884638730584,time_stop
2024-01-23 07:15:00+00:00,2024-01-23 08:00:00+00:00,short,39906.860093100004,39772.63878587751,0.505901533330395,47.74777480053227,stop
2024-01-23 08:45:00+00:00,2024-01-23 09:00:00+00:00,short,39470.4605295,39338.54469266575,0.2864750511670427,26.502189205112295,stop
2024-01-23 09:15:00+00:00,2024-01-23 14:15:00+00:00,short,39077.3609226,38838.3,0.1885963563531246,37.7387140723513,time_stop
2024-01-23 16:15:00+00:00,2024-01-23 17:00:00+00:00,short,38949.96105,39479.2,0.21382191877439494,-121.54782463093437,stop
2024-01-23 19:00:00+00:00,2024-01-23 23:15:00+00:00,short,39081.5609184,39654.2,0.19517544538456877,-119.44873139836095,stop
2024-01-24 19:45:00+00:00,2024-01-24 20:00:00+00:00,short,39663.4603365,39924.7,0.5563255118760871,-167.4727515382122,hard_kill
