strategy,trades,return_pct,cagr,max_dd,wr,pf,sharpe,sortino,expectancy,worst_month,win_months_pct
v20,17,-5.68,-2.5,-5.91,58.82,0.31,-1.27,-0.28,-33.42,-5.68,0.0
v26,18,-3.06,-1.34,-4.68,55.56,0.2,-0.7,-0.1,-37.66,-3.06,0.0
