signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason
2024-03-11 20:00:00+00:00,2024-03-12 00:00:00+00:00,2024-03-15 00:00:00+00:00,long,72162.2155,68030.53443574524,0.04864681845798264,-200.99313865908601,-3.0689690648623005,-23.47580158523528,-227.5379093091836,72.0,stop
2024-03-20 20:00:00+00:00,2024-03-21 00:00:00+00:00,2024-04-13 20:00:00+00:00,long,67893.7887,61820.89888582828,0.032282512554335195,-196.04814166709295,-1.8843822137120263,-55.76539446648306,-253.69791834728804,572.0,stop
2024-05-17 12:00:00+00:00,2024-05-17 16:00:00+00:00,2024-06-16 08:00:00+00:00,long,67197.7191,66285.3708,0.06636643370049257,-60.549302963706964,-3.9864584861933574,-82.96430634986062,-147.50006779976093,712.0,ema_inverse_next_open
2024-07-04 04:00:00+00:00,2024-07-04 08:00:00+00:00,2024-07-14 20:00:00+00:00,short,58185.1809,61081.16986571557,0.06513091316919993,-188.6184058649821,-3.495566851078123,5.177691204937336,-186.93628151112287,252.0,stop
2024-07-18 04:00:00+00:00,2024-07-18 08:00:00+00:00,2024-08-02 20:00:00+00:00,long,64724.4718,61548.99092167999,0.05818369888746457,-184.76122324707276,-3.3061757096140703,-30.80884068394083,-218.87623964062766,372.0,stop
2024-08-04 12:00:00+00:00,2024-08-04 16:00:00+00:00,2024-08-23 16:00:00+00:00,short,59115.0879,62824.71550024692,0.048582887095640716,-180.2244188696689,-2.66588446547647,14.017644745647459,-168.87265858949792,456.0,stop
2024-08-25 00:00:00+00:00,2024-08-25 04:00:00+00:00,2024-08-27 20:00:00+00:00,long,64140.4134,61425.318810251614,0.06524051343995986,-177.13416507324172,-3.6863877779375946,-6.984401801599547,-187.80495465277886,64.0,stop
2024-08-29 16:00:00+00:00,2024-08-29 20:00:00+00:00,2024-09-19 00:00:00+00:00,short,59239.0755,61825.181899999996,0.04975481685977627,-128.67125031189516,-2.7105884798408164,13.07640793473837,-118.30543085699762,484.0,ema_inverse_next_open
2024-09-18 20:00:00+00:00,2024-09-19 00:00:00+00:00,2024-12-30 04:00:00+00:00,long,61825.181899999996,93779.6211,0.05256909062377481,1679.8158101367026,-3.6810013456807322,-303.47855703127254,1372.6562517597495,2452.0,ema_inverse_next_open
2025-01-04 04:00:00+00:00,2025-01-04 08:00:00+00:00,2025-01-08 08:00:00+00:00,long,98308.8299,95009.55435308724,0.060310828953315875,-198.9820431797131,-5.246636402798702,-9.905233312626166,-214.13391289513797,96.0,stop
2025-01-16 04:00:00+00:00,2025-01-16 08:00:00+00:00,2025-02-03 00:00:00+00:00,long,99818.9809,95353.36247353652,0.043493272670383956,-194.22435986406705,-3.819907776628363,-37.857501059045205,-235.90176869974061,424.0,stop
2025-02-03 16:00:00+00:00,2025-02-03 20:00:00+00:00,2025-02-05 20:00:00+00:00,long,101914.19039999999,97431.2559,0.02722142147887677,-122.03184948669738,-2.4419098861321933,-1.8006705982503484,-126.27442997107993,48.0,ema_inverse_next_open
