signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason,coin
2025-10-31 06:00:00+00:00,2025-10-31 07:00:00+00:00,2025-10-31 22:00:00+00:00,short,109606.1083,109618.8758,0.05655771404147457,-0.7221006140238023,-5.5794887826635735,1.1642935664006677,-5.137295830286709,15.0,max_hold,BTC
2025-11-06 00:00:00+00:00,2025-11-06 01:00:00+00:00,2025-11-06 16:00:00+00:00,short,103670.8894,100847.2451,0.06136679036304388,173.27798781790378,-5.64777966838604,1.1861932097468544,168.81640135926457,15.0,max_hold,BTC
2025-11-08 03:00:00+00:00,2025-11-08 04:00:00+00:00,2025-11-08 19:00:00+00:00,short,102500.24070000001,101972.5826,0.06256699582153785,33.01398213790155,-5.756962626463116,0.0,27.257019511438436,15.0,max_hold,BTC
2025-11-20 09:00:00+00:00,2025-11-20 10:00:00+00:00,2025-11-21 01:00:00+00:00,short,91862.433,87090.1192,0.0624363609881947,297.96590716574343,-5.027915767013081,0.0,292.93799139873033,15.0,max_hold,BTC
2025-11-24 00:00:00+00:00,2025-11-24 01:00:00+00:00,2025-11-24 16:00:00+00:00,short,86678.9885,87696.1756118754,0.07065337987627611,-71.86770742058421,-5.544087619942945,0.0,-77.41179504052715,15.0,trail_stop,BTC
2025-12-07 21:00:00+00:00,2025-12-07 22:00:00+00:00,2025-12-08 01:00:00+00:00,short,90158.9442,91317.81866259103,0.077636538105883,-89.97100137488343,-6.340152426891228,0.0,-96.31115380177465,3.0,trail_stop,BTC
2025-12-16 17:00:00+00:00,2025-12-16 18:00:00+00:00,2025-12-17 09:00:00+00:00,short,87053.876,86394.9107,0.06812268503427682,44.89048558041847,-5.317108679673702,0.0,39.57337690074477,15.0,max_hold,BTC
2025-12-17 22:00:00+00:00,2025-12-17 23:00:00+00:00,2025-12-18 14:00:00+00:00,long,86342.8951,88277.5088,0.058936355338267285,114.01908046548013,-4.631170578102969,0.0,109.38790988737716,15.0,max_hold,BTC
2026-01-03 11:00:00+00:00,2026-01-03 12:00:00+00:00,2026-01-03 21:00:00+00:00,short,89694.0837,90668.17731505523,0.13157830648308,-128.16958822494837,-10.679292386019092,0.0,-138.84888061096746,9.0,trail_stop,BTC
2026-01-08 23:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-09 15:00:00+00:00,short,91051.6763,91581.1050511069,0.09468105954445838,-50.12687510810043,-7.78133936064339,0.0,-57.90821446874382,15.0,trail_stop,BTC
2026-01-12 17:00:00+00:00,2026-01-12 18:00:00+00:00,2026-01-13 09:00:00+00:00,short,91453.5557,92448.64663766632,0.08740087947949507,-86.97182311411164,-7.2329464001376405,0.0,-94.20476951424928,15.0,trail_stop,BTC
2026-01-15 17:00:00+00:00,2026-01-15 18:00:00+00:00,2026-01-16 09:00:00+00:00,short,96596.0125,95633.68149999999,0.07508818771534667,72.2596907722977,-6.495380706391042,0.0,65.76431006590666,15.0,max_hold,BTC
2026-01-16 22:00:00+00:00,2026-01-16 23:00:00+00:00,2026-01-17 14:00:00+00:00,short,95512.3377,95523.6485,0.11043499626155158,-1.2491081557142756,-9.493676289818469,0.0,-10.742784445532743,15.0,max_hold,BTC
2026-01-26 17:00:00+00:00,2026-01-26 18:00:00+00:00,2026-01-27 09:00:00+00:00,long,87676.295,87823.645,0.08541121071609648,12.585341899017314,-6.74534806020103,0.0,5.839993838816284,15.0,max_hold,BTC
2026-01-27 11:00:00+00:00,2026-01-27 12:00:00+00:00,2026-01-28 03:00:00+00:00,long,87981.3865,89065.2724,0.11856430462046601,128.51017802142894,-9.446136299034903,0.0,119.06404172239404,15.0,max_hold,BTC
2026-01-28 15:00:00+00:00,2026-01-28 16:00:00+00:00,2026-01-29 07:00:00+00:00,short,89418.1665,88352.4978,0.09356342781005107,99.70761648188184,-7.484774722190043,0.0,92.2228417596918,15.0,max_hold,BTC
2026-01-30 20:00:00+00:00,2026-01-30 21:00:00+00:00,2026-01-31 12:00:00+00:00,short,83886.8264,82756.8196,0.056617968189754425,63.97868905660635,-4.245761091713714,0.0,59.73292796489264,15.0,max_hold,BTC
2026-02-02 20:00:00+00:00,2026-02-02 21:00:00+00:00,2026-02-03 12:00:00+00:00,short,77907.6207,78322.48969999999,0.057606252728882715,-23.899048463378353,-4.049924050603641,0.0,-27.948972513981992,15.0,max_hold,BTC
2026-02-11 18:00:00+00:00,2026-02-11 19:00:00+00:00,2026-02-12 10:00:00+00:00,long,67264.1732,67967.6036,0.061168947758704316,43.02809738948432,-3.722393470678183,0.0,39.30570391880614,15.0,max_hold,BTC
2026-03-01 18:00:00+00:00,2026-03-01 19:00:00+00:00,2026-03-02 10:00:00+00:00,long,66297.88339999999,66260.11600000001,0.07732259583501538,-2.9202734059380027,-4.6123778755369855,0.33041157776342867,-7.20223970371156,15.0,max_hold,BTC
2026-03-13 20:00:00+00:00,2026-03-13 21:00:00+00:00,2026-03-14 12:00:00+00:00,long,71337.3948,70708.781,0.07749174437033525,-48.71237989726442,-4.953332674744785,0.0,-53.665712572009205,15.0,max_hold,BTC
2026-03-20 05:00:00+00:00,2026-03-20 06:00:00+00:00,2026-03-20 21:00:00+00:00,short,70544.8302,70532.15329999999,0.09704345625555592,1.230210190606624,-6.160769134626615,0.0,-4.930558944019991,15.0,max_hold,BTC
2026-04-02 16:00:00+00:00,2026-04-02 17:00:00+00:00,2026-04-03 08:00:00+00:00,long,67072.1156,66915.9192,0.10783422645258237,-16.843317968678214,-6.501823238951859,0.0,-23.34514120763007,15.0,max_hold,BTC
2026-04-09 05:00:00+00:00,2026-04-09 06:00:00+00:00,2026-04-09 21:00:00+00:00,long,70971.285,72223.3265,0.11057474605558167,138.44417091354867,-7.125168511413078,0.0,131.3190024021356,15.0,max_hold,BTC
2026-04-18 08:00:00+00:00,2026-04-18 09:00:00+00:00,2026-04-19 00:00:00+00:00,short,76668.9924,75644.6866,0.1282196257521832,131.33610633179086,-8.788321313243175,0.0,122.54778501854769,15.0,max_hold,BTC
2026-04-19 15:00:00+00:00,2026-04-19 16:00:00+00:00,2026-04-20 07:00:00+00:00,short,75787.257,75157.6685507233,0.13608208079324197,85.67570622096282,-9.24340479935554,0.0,76.43230142160728,15.0,trail_stop,BTC
2026-04-20 07:00:00+00:00,2026-04-20 08:00:00+00:00,2026-04-20 23:00:00+00:00,long,74819.4391,75778.25970000001,0.11458457826305443,109.86605408092954,-7.765278211973024,0.0,102.10077586895652,15.0,max_hold,BTC
2026-04-27 14:00:00+00:00,2026-04-27 15:00:00+00:00,2026-04-27 15:00:00+00:00,long,77785.3286,76531.99717805136,0.13658717634048298,-171.18899994276646,-9.484995504797306,0.0,-180.67399544756375,0.0,stop,BTC
2026-05-03 05:00:00+00:00,2026-05-03 06:00:00+00:00,2026-05-03 21:00:00+00:00,long,78236.4639,78777.3597,0.2350959411664123,127.16240717395914,-16.61099068592057,0.0,110.55141648803857,15.0,max_hold,BTC
2026-05-13 05:00:00+00:00,2026-05-13 06:00:00+00:00,2026-05-13 21:00:00+00:00,short,80955.706,79386.8089,0.15923605408435518,249.8249834683883,-11.489539218587067,0.0,238.33544424980124,15.0,max_hold,BTC
